OBJECTID,Address,Place_Type,long,lat
4571,1778 Loyola Dr,SF,-121.834656,37.334627
4576,1778 Mt Kenya Dr,SF,-121.798821,37.351038
4617,1778 Quimby Rd,MH,-121.819464,37.329167
4627,1778 S Capitol Ave,SF,-121.819206,37.342611
4628,1778 Tampa Way,SF,-121.835385,37.331078
4649,1779 Cathay Dr,SF,-121.83045,37.334798
4659,1779 Everglade Ave,SF,-121.838261,37.338005
4687,1779 Loyola Dr,SF,-121.835042,37.335002
4695,1779 Ocala Ave,SF,-121.832767,37.332716
4698,1779 Quimby Rd,MH,-121.81955,37.32927
4705,1779 Terilyn Ave,SF,-121.839376,37.328485
4829,1780 Cathay Dr,SF,-121.830021,37.335002
4832,1780 Clarice Dr,SF,-121.825686,37.323332
4837,1780 Cortez Ave,SF,-121.838776,37.338039
4839,1780 Cunningham Ave,SF,-121.830579,37.328724
4853,1780 Florida Ave,SF,-121.836029,37.330498
4860,1780 Home Gate Dr,SF,-121.818863,37.339882
4862,1780 June Ave,SF,-121.837531,37.329747
4864,1780 Kyra Cir,SF,-121.815043,37.313912
4865,1780 La Porte Ave,SF,-121.834098,37.334047
4901,1780 Parkdale Way,SF,-121.810451,37.345648
4904,1780 Quimby Rd,MH,-121.819678,37.329372
4914,1780 Story Rd,CO,-121.840321,37.341246
4915,1780 Story Rd 10,BU,-121.840406,37.341246
4916,1780 Story Rd 20,BU,-121.840321,37.341281
4917,1780 Story Rd 30,BU,-121.840235,37.341349
4922,1780 Terilyn Ave,SF,-121.838947,37.328724
4926,1780 Waverly Ave,SF,-121.827832,37.326267
4950,1781 Chaucer Dr,SF,-121.844204,37.343669
4955,1781 Crucero Dr,MF,-121.842981,37.327359
4971,1781 Florida Ave,SF,-121.836458,37.330225
4980,1781 Kyra Cir,SF,-121.81543,37.314185
4982,1781 La Porte Ave,SF,-121.834484,37.334456
4988,1781 Mt Rushmore Dr,SF,-121.802941,37.349059
4993,1781 Parkdale Way,SF,-121.810838,37.345409
4996,1781 Quimby Rd,MH,-121.819764,37.329509
5009,1781 S Capitol Ave,SF,-121.818906,37.342236
